wmo,cycle,date,lat,lon,sst_proxy_c,mld_m,thermocline_depth_m,heat_content_0_300m,n_levels,year
4900514,174,2010-03-10,53.15399932861328,-141.08399963378906,5.47599983215332,109.4000015258789,109.4000015258789,1406.4617919921875,41,2010 (Baseline)
4900514,175,2010-03-20,53.071998596191406,-140.9739990234375,5.427000045776367,109.69999694824219,119.5999984741211,1386.1119384765625,41,2010 (Baseline)
4900514,176,2010-03-30,52.87699890136719,-140.6750030517578,5.618000030517578,99.80000305175781,99.80000305175781,1460.6090087890625,41,2010 (Baseline)
4900514,177,2010-04-09,52.77399826049805,-139.98599243164062,5.446000099182129,109.80000305175781,109.80000305175781,1423.9053955078125,40,2010 (Baseline)
4900514,178,2010-04-19,52.965999603271484,-139.84800720214844,5.853000164031982,69.5,169.10000610351562,1460.9493408203125,41,2010 (Baseline)
4900514,179,2010-04-29,53.117000579833984,-140.1179962158203,6.232999801635742,39.29999923706055,99.5999984741211,1455.10107421875,41,2010 (Baseline)
4900514,180,2010-05-09,53.06399917602539,-140.58900451660156,6.400000095367432,19.399999618530273,79.30000305175781,1457.2203369140625,41,2010 (Baseline)
4900514,181,2010-05-19,52.91699981689453,-141.0330047607422,7.136000156402588,19.399999618530273,59.29999923706055,1499.9461669921875,40,2010 (Baseline)
4900514,182,2010-05-29,52.79800033569336,-140.95799255371094,7.706999778747559,39.0,69.0999984741211,1565.1669921875,41,2010 (Baseline)
4900514,183,2010-06-08,52.93600082397461,-140.5989990234375,8.407999992370605,39.400001525878906,48.900001525878906,1532.2393798828125,41,2010 (Baseline)
4900514,184,2010-06-18,53.14099884033203,-140.7469940185547,8.675999641418457,19.200000762939453,49.599998474121094,1548.33447265625,41,2010 (Baseline)
4900514,185,2010-06-28,53.1150016784668,-141.13900756835938,9.439000129699707,19.299999237060547,49.5,1570.427978515625,41,2010 (Baseline)
4900514,186,2010-07-08,52.91600036621094,-141.11399841308594,10.00100040435791,29.200000762939453,29.200000762939453,1619.6116943359375,41,2010 (Baseline)
4900514,187,2010-07-18,53.0099983215332,-140.9320068359375,10.53600025177002,29.5,29.5,1594.626708984375,41,2010 (Baseline)
4900514,188,2010-07-28,53.24399948120117,-141.01400756835938,11.598999977111816,19.299999237060547,29.5,1702.5191650390625,41,2010 (Baseline)
4900514,189,2010-08-07,53.513999938964844,-141.48800659179688,13.303999900817871,19.399999618530273,29.299999237060547,1701.035400390625,41,2010 (Baseline)
4900514,190,2010-08-17,53.597999572753906,-142.04800415039062,13.666000366210938,19.399999618530273,49.29999923706055,1724.905517578125,41,2010 (Baseline)
4900514,191,2010-08-27,53.44499969482422,-142.21400451660156,13.270999908447266,29.700000762939453,29.700000762939453,1753.3983154296875,41,2010 (Baseline)
4900514,192,2010-09-06,53.31100082397461,-142.093994140625,12.91100025177002,39.400001525878906,29.100000381469727,1796.118896484375,41,2010 (Baseline)
4900514,193,2010-09-16,53.27299880981445,-141.8769989013672,13.0,39.5,29.600000381469727,1827.645751953125,41,2010 (Baseline)
4900514,194,2010-09-26,53.29899978637695,-141.781005859375,12.420000076293945,39.900001525878906,39.900001525878906,1789.2587890625,41,2010 (Baseline)
4900514,195,2010-10-06,53.35599899291992,-141.79299926757812,10.973999977111816,49.5,59.599998474121094,1817.27490234375,41,2010 (Baseline)
4900514,196,2010-10-16,53.54499816894531,-141.9949951171875,10.461000442504883,59.400001525878906,69.0999984741211,1833.296630859375,41,2010 (Baseline)
4900514,197,2010-10-26,53.75699996948242,-142.08399963378906,9.984999656677246,49.70000076293945,49.70000076293945,1836.7154541015625,41,2010 (Baseline)
4900514,198,2010-11-05,53.86600112915039,-142.2740020751953,8.87399959564209,69.30000305175781,69.30000305175781,1819.43994140625,41,2010 (Baseline)
4900514,199,2010-11-15,54.191001892089844,-142.49099731445312,8.357000350952148,79.4000015258789,79.4000015258789,1793.13037109375,41,2010 (Baseline)
4900514,200,2010-11-25,54.26499938964844,-142.67999267578125,7.916999816894531,79.69999694824219,79.69999694824219,1740.794677734375,41,2010 (Baseline)
4900514,201,2010-12-05,54.38999938964844,-142.3719940185547,7.440999984741211,79.5999984741211,79.5999984741211,1690.0706787109375,41,2010 (Baseline)
4900514,202,2010-12-15,54.39400100708008,-142.21600341796875,7.202000141143799,79.30000305175781,79.30000305175781,1716.296142578125,41,2010 (Baseline)
4900514,203,2010-12-25,54.21200180053711,-142.45399475097656,6.86299991607666,79.69999694824219,79.69999694824219,1661.1507568359375,41,2010 (Baseline)
4900515,168,2010-01-07,48.05799865722656,-130.4949951171875,9.420999526977539,38.900001525878906,79.30000305175781,2139.432861328125,41,2010 (Baseline)
4900515,169,2010-01-17,48.20800018310547,-130.43800354003906,9.178000450134277,79.5999984741211,79.5999984741211,2144.142822265625,41,2010 (Baseline)
4900515,170,2010-01-27,48.39500045776367,-130.46400451660156,8.727999687194824,69.0,69.0,2116.037841796875,41,2010 (Baseline)
4900515,171,2010-02-06,48.65599822998047,-130.48199462890625,8.531000137329102,79.30000305175781,69.30000305175781,2120.975341796875,41,2010 (Baseline)
4900515,172,2010-02-16,48.78900146484375,-130.0279998779297,8.564000129699707,69.0999984741211,69.0999984741211,2108.5595703125,41,2010 (Baseline)
4900515,173,2010-02-26,48.86000061035156,-129.7760009765625,8.538999557495117,79.19999694824219,79.19999694824219,2082.26318359375,41,2010 (Baseline)
4900515,174,2010-03-08,48.917999267578125,-129.7030029296875,8.326000213623047,58.900001525878906,68.9000015258789,2077.88623046875,41,2010 (Baseline)
4900515,175,2010-03-18,48.900001525878906,-129.53199768066406,7.735000133514404,98.9000015258789,98.9000015258789,2033.4580078125,41,2010 (Baseline)
4900515,176,2010-03-28,48.99100112915039,-129.48899841308594,7.890999794006348,99.5,99.5,2041.0760498046875,41,2010 (Baseline)
4900515,177,2010-04-07,49.22800064086914,-129.39500427246094,7.830999851226807,79.0,79.0,1935.2337646484375,41,2010 (Baseline)
4900515,178,2010-04-17,49.3390007019043,-129.0449981689453,9.098999977111816,18.799999237060547,89.19999694824219,2081.28857421875,41,2010 (Baseline)
4900515,179,2010-04-27,49.492000579833984,-128.71499633789062,8.744000434875488,29.100000381469727,79.4000015258789,2103.58984375,41,2010 (Baseline)
4900515,180,2010-05-07,49.494998931884766,-128.37899780273438,9.73799991607666,18.899999618530273,58.5,2097.27978515625,41,2010 (Baseline)
4900515,181,2010-05-17,49.3129997253418,-128.39700317382812,10.812999725341797,19.0,38.79999923706055,2190.420166015625,41,2010 (Baseline)
4900515,182,2010-05-27,49.255001068115234,-128.45700073242188,10.159000396728516,29.0,59.20000076293945,2083.226806640625,41,2010 (Baseline)
4900515,183,2010-06-06,49.03499984741211,-128.40899658203125,11.229000091552734,18.899999618530273,49.20000076293945,2214.693603515625,41,2010 (Baseline)
4900515,184,2010-06-16,48.84000015258789,-128.3459930419922,11.463000297546387,29.200000762939453,29.200000762939453,2187.552978515625,41,2010 (Baseline)
4900515,185,2010-06-26,48.595001220703125,-128.4929962158203,12.781000137329102,19.0,39.0,2219.0732421875,41,2010 (Baseline)
4900515,186,2010-07-06,48.33300018310547,-128.56700134277344,13.281999588012695,28.799999237060547,28.799999237060547,2297.226806640625,41,2010 (Baseline)
4900515,187,2010-07-16,48.027000427246094,-128.86500549316406,13.956000328063965,28.700000762939453,28.700000762939453,2291.084228515625,41,2010 (Baseline)
4900515,188,2010-07-26,47.83000183105469,-128.94200134277344,13.605999946594238,49.099998474121094,49.099998474121094,2406.668212890625,41,2010 (Baseline)
4900515,189,2010-08-05,47.66600036621094,-128.96400451660156,14.102999687194824,49.400001525878906,49.400001525878906,2418.83056640625,41,2010 (Baseline)
4900515,190,2010-08-15,47.5880012512207,-129.1009979248047,15.23799991607666,29.200000762939453,29.200000762939453,2420.63232421875,41,2010 (Baseline)
4900515,191,2010-08-25,47.50400161743164,-129.1280059814453,16.327999114990234,19.100000381469727,48.900001525878906,2438.646728515625,41,2010 (Baseline)
4900515,192,2010-09-04,47.42100143432617,-129.10899353027344,16.167999267578125,29.0,48.79999923706055,2430.954833984375,41,2010 (Baseline)
4900515,193,2010-09-14,47.28200149536133,-128.91600036621094,16.195999145507812,39.400001525878906,49.0,2527.62109375,41,2010 (Baseline)
4900515,194,2010-09-24,47.314998626708984,-128.66700744628906,16.150999069213867,29.200000762939453,29.200000762939453,2524.74658203125,41,2010 (Baseline)
4900515,195,2010-10-04,47.46900177001953,-128.31900024414062,15.836000442504883,39.20000076293945,39.20000076293945,2504.16796875,41,2010 (Baseline)
4900515,196,2010-10-14,47.457000732421875,-127.99600219726562,15.116000175476074,49.0,49.0,2466.127197265625,41,2010 (Baseline)
4900515,197,2010-10-24,47.69499969482422,-127.66900634765625,14.807999610900879,49.599998474121094,49.599998474121094,2499.14794921875,41,2010 (Baseline)
4900515,198,2010-11-03,47.59600067138672,-127.41999816894531,12.885000228881836,58.900001525878906,58.900001525878906,2407.774169921875,41,2010 (Baseline)
4900515,199,2010-11-13,47.380001068115234,-127.40800476074219,12.394000053405762,48.599998474121094,48.599998474121094,2305.33544921875,41,2010 (Baseline)
4900515,200,2010-11-23,47.50899887084961,-127.32400512695312,11.01200008392334,59.20000076293945,59.20000076293945,2218.629150390625,41,2010 (Baseline)
4900515,201,2010-12-03,47.32699966430664,-127.31399536132812,10.39900016784668,68.5999984741211,79.0,2276.4921875,41,2010 (Baseline)
4900515,202,2010-12-13,47.27299880981445,-127.28500366210938,10.00100040435791,69.5,69.5,2199.32470703125,41,2010 (Baseline)
4900515,203,2010-12-23,47.42300033569336,-127.46200561523438,9.496999740600586,79.0,79.0,2189.52587890625,41,2010 (Baseline)
4900521,169,2010-03-15,44.71900177001953,-159.77999877929688,6.7270002365112305,249.10000610351562,149.0,2000.448974609375,41,2010 (Baseline)
4900521,170,2010-03-25,44.78499984741211,-159.61000061035156,6.761000156402588,219.5,129.10000610351562,1964.7557373046875,41,2010 (Baseline)
4900521,171,2010-04-04,44.744998931884766,-159.21499633789062,6.730999946594238,229.3000030517578,139.3000030517578,1969.9857177734375,41,2010 (Baseline)
4900521,172,2010-04-14,44.63999938964844,-159.1790008544922,7.086999893188477,49.20000076293945,139.0,2046.760498046875,41,2010 (Baseline)
4900521,173,2010-04-24,44.569000244140625,-159.1719970703125,6.9679999351501465,249.3000030517578,139.39999389648438,2054.246826171875,41,2010 (Baseline)
4900521,174,2010-05-04,44.54199981689453,-159.06100463867188,7.170000076293945,129.8000030517578,149.6999969482422,2050.948486328125,41,2010 (Baseline)
4900522,128,2010-01-07,51.930999755859375,-139.36599731445312,6.7170000076293945,89.69999694824219,89.69999694824219,1650.702880859375,41,2010 (Baseline)
4900522,129,2010-01-17,51.9379997253418,-139.4600067138672,6.568999767303467,89.4000015258789,89.4000015258789,1662.1361083984375,41,2010 (Baseline)
4900522,130,2010-01-27,51.974998474121094,-139.43499755859375,6.454999923706055,99.5,89.69999694824219,1690.346923828125,41,2010 (Baseline)
4900522,131,2010-02-06,52.018001556396484,-139.5919952392578,6.458000183105469,79.5,79.5,1685.0533447265625,41,2010 (Baseline)
4900522,132,2010-02-16,52.012001037597656,-139.86199951171875,6.439000129699707,99.19999694824219,89.5,1657.0435791015625,41,2010 (Baseline)
4900522,133,2010-02-26,52.013999938964844,-140.21099853515625,6.364999771118164,69.5,79.4000015258789,1638.6380615234375,41,2010 (Baseline)
4900522,134,2010-03-08,52.14099884033203,-140.60899353027344,6.196000099182129,99.69999694824219,99.69999694824219,1611.224365234375,41,2010 (Baseline)
4900522,135,2010-03-18,52.323001861572266,-140.4029998779297,5.964000225067139,99.80000305175781,89.19999694824219,1588.6492919921875,41,2010 (Baseline)
4900522,136,2010-03-28,52.36199951171875,-140.46600341796875,5.77400016784668,109.30000305175781,109.30000305175781,1537.243408203125,35,2010 (Baseline)
4900522,137,2010-04-07,52.42900085449219,-140.5279998779297,5.914999961853027,99.69999694824219,89.5,1515.874755859375,41,2010 (Baseline)
4900522,138,2010-04-17,52.42900085449219,-140.6009979248047,5.9710001945495605,59.20000076293945,99.4000015258789,1512.1484375,41,2010 (Baseline)
4900522,139,2010-04-27,52.53099822998047,-140.41099548339844,6.179999828338623,69.4000015258789,109.5999984741211,1524.9351806640625,41,2010 (Baseline)
4900522,140,2010-05-07,52.558998107910156,-140.24400329589844,6.374000072479248,59.5,89.19999694824219,1533.177978515625,41,2010 (Baseline)
4900522,141,2010-05-17,52.625999450683594,-140.14599609375,6.959000110626221,19.700000762939453,59.20000076293945,1567.1026611328125,41,2010 (Baseline)
4900522,142,2010-05-27,52.77899932861328,-140.13099670410156,7.244999885559082,39.20000076293945,29.600000381469727,1491.4423828125,41,2010 (Baseline)
4900522,143,2010-06-06,52.95000076293945,-140.14500427246094,7.889999866485596,49.099998474121094,49.099998474121094,1547.385009765625,41,2010 (Baseline)
4900522,144,2010-06-16,53.025001525878906,-140.22300720214844,8.256999969482422,39.5,29.5,1546.53173828125,41,2010 (Baseline)
4900522,145,2010-06-26,53.09000015258789,-140.14300537109375,8.958000183105469,18.899999618530273,49.29999923706055,1589.8699951171875,41,2010 (Baseline)
4900522,146,2010-07-06,53.10900115966797,-139.63099670410156,9.765000343322754,19.299999237060547,39.599998474121094,1595.9068603515625,41,2010 (Baseline)
4900522,147,2010-07-16,53.04399871826172,-139.21600341796875,10.848999977111816,29.399999618530273,29.399999618530273,1713.09814453125,41,2010 (Baseline)
4900522,148,2010-07-26,52.939998626708984,-139.03500366210938,11.574999809265137,29.600000381469727,39.400001525878906,1738.3099365234375,41,2010 (Baseline)
4900522,149,2010-08-05,52.92100143432617,-138.8979949951172,13.526000022888184,19.299999237060547,49.5,2014.0657958984375,41,2010 (Baseline)
4900522,150,2010-08-15,52.7869987487793,-138.91400146484375,14.609999656677246,19.299999237060547,29.5,1900.8260498046875,41,2010 (Baseline)
4900522,151,2010-08-25,52.70199966430664,-139.0070037841797,14.16100025177002,19.700000762939453,29.299999237060547,1817.7633056640625,41,2010 (Baseline)
4900522,152,2010-09-04,52.67399978637695,-138.92599487304688,13.96500015258789,19.5,39.599998474121094,1841.125,41,2010 (Baseline)
4900522,153,2010-09-14,52.665000915527344,-138.9530029296875,13.899999618530273,29.700000762939453,29.700000762939453,1816.0081787109375,40,2010 (Baseline)
4900522,154,2010-09-24,52.74100112915039,-139.11599731445312,13.940999984741211,29.899999618530273,29.899999618530273,1892.830078125,41,2010 (Baseline)
4900522,155,2010-10-04,52.805999755859375,-139.05299377441406,12.479000091552734,49.70000076293945,49.70000076293945,1956.3260498046875,41,2010 (Baseline)
4900522,156,2010-10-14,52.86399841308594,-138.98800659179688,10.918000221252441,49.400001525878906,49.400001525878906,2033.5498046875,41,2010 (Baseline)
4900522,157,2010-10-24,52.750999450683594,-138.63400268554688,10.37399959564209,49.70000076293945,49.70000076293945,1929.843017578125,41,2010 (Baseline)
4900522,158,2010-11-03,52.94200134277344,-138.4530029296875,9.892999649047852,59.599998474121094,59.599998474121094,1947.1561279296875,41,2010 (Baseline)
4900522,159,2010-11-13,53.097999572753906,-138.75100708007812,9.090999603271484,69.4000015258789,69.4000015258789,1893.21240234375,41,2010 (Baseline)
4900522,160,2010-11-23,53.2400016784668,-139.13400268554688,8.720999717712402,79.5,79.5,1869.422119140625,41,2010 (Baseline)
4900522,161,2010-12-03,53.33599853515625,-139.35899353027344,7.883999824523926,79.4000015258789,79.4000015258789,1832.8018798828125,41,2010 (Baseline)
4900522,162,2010-12-13,53.340999603271484,-139.34100341796875,7.776000022888184,69.30000305175781,69.30000305175781,1769.6759033203125,41,2010 (Baseline)
4900522,163,2010-12-23,53.11399841308594,-139.3159942626953,7.331999778747559,79.69999694824219,79.69999694824219,1720.7884521484375,41,2010 (Baseline)
